epoch,train_time,valid_time,train_loss,val_loss,avg_f1,avg_precision,avg_recall,no_building_f1,no_building_precision,no_building_recall,building_f1,building_precision,building_recall
0,0:01:44.302633,0:00:04.622399,0.015002037026520794,0.0049491520039737225,0.9711323976516724,0.9708908796310425,0.9713740348815918,0.9849245548248291,0.9839357137680054,0.98591548204422,0.7169811129570007,0.7307692170143127,0.7037037014961243
1,0:01:43.396770,0:00:04.567418,0.005549899956745915,0.004290818236768246,0.9732824563980103,0.9732824563980103,0.9732824563980103,0.98591548204422,0.98591548204422,0.98591548204422,0.7407407164573669,0.7407407164573669,0.7407407164573669
2,0:01:44.068451,0:00:04.521944,0.0039047176662914177,0.004851016215980053,0.9701824188232422,0.9689938426017761,0.9713740348815918,0.9850149750709534,0.97817462682724,0.9919517040252686,0.6808510422706604,0.800000011920929,0.5925925970077515
3,0:01:46.111942,0:00:04.509380,0.003881631747555801,0.003403612645342946,0.982987105846405,0.9831498265266418,0.982824444770813,0.9909365177154541,0.9919354915618896,0.9899396300315857,0.836363673210144,0.8214285969734192,0.8518518805503845
4,0:01:45.868340,0:00:04.539637,0.003352065900033491,0.0038723754696547985,0.9844464659690857,0.9841604232788086,0.9847328066825867,0.9919840097427368,0.9880239367485046,0.9959758520126343,0.8399999737739563,0.9130434989929199,0.7777777910232544
5,0:01:45.065255,0:00:04.643266,0.003038167044364122,0.003118832129985094,0.9845228791236877,0.9843130707740784,0.9847328066825867,0.9919679164886475,0.9899799823760986,0.9939637780189514,0.8461538553237915,0.8799999952316284,0.8148148059844971
6,0:01:45.331923,0:00:04.567045,0.003009166117505418,0.003843313083052635,0.9785704612731934,0.9781336188316345,0.9790076613426208,0.9889668226242065,0.9860000014305115,0.9919517040252686,0.7843137383460999,0.8333333134651184,0.7407407164573669
7,0:01:45.103557,0:00:04.628333,0.0029061095162274384,0.019529350101947784,0.9155949354171753,0.9500081539154053,0.8835877180099487,0.9354497194290161,0.9866071343421936,0.8893359899520874,0.4077669680118561,0.2763157784938812,0.7777777910232544
8,0:01:44.866612,0:00:04.610958,0.0031214544498090863,0.0050504934042692184,0.9638330936431885,0.9620242118835449,0.9656488299369812,0.9820359349250793,0.9742574095726013,0.9899396300315857,0.6086956262588501,0.7368420958518982,0.5185185074806213
9,0:01:44.616101,0:00:04.515241,0.003019797904248233,0.004808525089174509,0.979202389717102,0.9793972969055176,0.9790076017379761,0.9889224767684937,0.9899193644523621,0.9879275560379028,0.800000011920929,0.7857142686843872,0.8148148059844971
10,0:01:44.603573,0:00:04.613428,0.002305316515941638,0.005077579990029335,0.976328432559967,0.979393482208252,0.9732824563980103,0.9857723712921143,0.9958932399749756,0.9758551120758057,0.78125,0.6756756901741028,0.9259259104728699
11,0:01:45.322476,0:00:04.501443,0.0024369638004793906,0.004887109622359276,0.9767448306083679,0.9763906598091125,0.9770991802215576,0.9880477786064148,0.9783037304878235,0.9979879260063171,0.7272726893424988,0.9411764740943909,0.5925925970077515
12,0:01:45.590725,0:00:04.622045,0.0019153389507981001,0.004373913165181875,0.9767441749572754,0.9763894081115723,0.9770992398262024,0.9879517555236816,0.9859719276428223,0.9899396300315857,0.7692307829856873,0.800000011920929,0.7407407164573669
13,0:01:45.553065,0:00:04.663367,0.0016375383498898224,0.003125049639493227,0.9825009107589722,0.9821774959564209,0.9828243851661682,0.9909728765487671,0.9879999756813049,0.9939637780189514,0.8235294222831726,0.875,0.7777777910232544
14,0:01:45.343567,0:00:04.534863,0.0016148669931068094,0.00417685229331255,0.9801698923110962,0.981334924697876,0.9790076017379761,0.9888776540756226,0.9939024448394775,0.9839034080505371,0.813559353351593,0.75,0.8888888955116272
15,0:01:46.564150,0:00:04.492063,0.0009342943406082313,0.003731031436473131,0.9812952876091003,0.9816749095916748,0.9809160232543945,0.9899194240570068,0.991919219493866,0.9879275560379028,0.8214285373687744,0.7931034564971924,0.8518518805503845
16,0:01:45.025145,0:00:04.592000,0.0008140797837787406,0.0036187286023050547,0.9694656133651733,0.9694656133651733,0.9694656133651733,0.9839034080505371,0.9839034080505371,0.9839034080505371,0.7037037014961243,0.7037037014961243,0.7037037014961243
17,0:01:44.608609,0:00:04.511578,0.0004944993383663967,0.004204664845019579,0.9763832688331604,0.9756683111190796,0.9770992398262024,0.9879999756813049,0.9821073412895203,0.9939637780189514,0.75,0.8571428656578064,0.6666666865348816
18,0:01:44.490407,0:00:04.552608,0.00045759508562042556,0.0025701355189085007,0.9845228791236877,0.9843130707740784,0.9847328066825867,0.9919679164886475,0.9899799823760986,0.9939637780189514,0.8461538553237915,0.8799999952316284,0.8148148059844971
19,0:01:44.733106,0:00:04.588889,0.0003289057028873178,0.0029269675724208355,0.9850501418113708,0.9853677749633789,0.9847328066825867,0.9919354319572449,0.9939393997192383,0.9899396300315857,0.8571429252624512,0.8275862336158752,0.8888888955116272
